daten,ym,llp_bk_shock
,1992m2,-1.08e-10
,1992m3,4.00e-10
01apr1992,1992m4,.0078704
,1992m5,-3.80e-10
,1992m6,4.40e-10
01jul1992,1992m7,.0030783
,1992m8,5.75e-10
,1992m9,3.70e-10
01oct1992,1992m10,-.0016984
,1992m11,3.23e-10
,1992m12,-6.07e-11
01jan1993,1993m1,-.0044969
,1993m2,4.53e-10
,1993m3,4.14e-10
01apr1993,1993m4,-.0049391
,1993m5,-7.39e-11
,1993m6,9.91e-11
01jul1993,1993m7,-.003818
,1993m8,-2.05e-11
,1993m9,-4.38e-12
01oct1993,1993m10,-.002165
,1993m11,-7.82e-12
,1993m12,-1.89e-11
01jan1994,1994m1,-.0007558
,1994m2,4.04e-12
,1994m3,4.50e-11
01apr1994,1994m4,-.000523
,1994m5,-4.97e-11
,1994m6,-3.24e-11
01jul1994,1994m7,-.0018285
,1994m8,8.21e-11
,1994m9,8.47e-11
01oct1994,1994m10,-.0030918
,1994m11,-8.78e-11
,1994m12,2.12e-10
01jan1995,1995m1,-.0029056
,1995m2,-4.58e-11
,1995m3,-2.67e-12
01apr1995,1995m4,-.0015028
,1995m5,4.19e-10
,1995m6,-2.94e-10
01jul1995,1995m7,.0003035
,1995m8,1.48e-10
,1995m9,4.32e-11
01oct1995,1995m10,.0012548
,1995m11,8.05e-11
,1995m12,2.18e-10
01jan1996,1996m1,.0008106
,1996m2,-1.67e-10
,1996m3,4.66e-12
01apr1996,1996m4,-.0004652
,1996m5,-2.26e-12
,1996m6,-1.29e-10
01jul1996,1996m7,-.001576
,1996m8,3.97e-11
,1996m9,1.55e-10
01oct1996,1996m10,-.0022706
,1996m11,-4.30e-10
,1996m12,-2.27e-10
01jan1997,1997m1,-.0021846
,1997m2,4.18e-10
,1997m3,-2.77e-11
01apr1997,1997m4,-.0012054
,1997m5,1.15e-10
,1997m6,4.07e-10
01jul1997,1997m7,-.0001743
,1997m8,-2.01e-10
,1997m9,3.01e-10
01oct1997,1997m10,.0007964
,1997m11,2.25e-10
,1997m12,-4.90e-11
01jan1998,1998m1,.001165
,1998m2,1.69e-10
,1998m3,1.38e-10
01apr1998,1998m4,.0013717
,1998m5,4.63e-12
,1998m6,-2.05e-10
01jul1998,1998m7,.0013693
,1998m8,-3.68e-11
,1998m9,-9.13e-11
01oct1998,1998m10,.0015241
,1998m11,2.23e-11
,1998m12,-2.57e-11
01jan1999,1999m1,.0014739
,1999m2,2.81e-12
,1999m3,-1.30e-11
01apr1999,1999m4,.0011471
,1999m5,3.61e-11
,1999m6,-1.61e-11
01jul1999,1999m7,.0009997
,1999m8,-4.39e-11
,1999m9,1.06e-10
01oct1999,1999m10,.0010448
,1999m11,-8.83e-11
,1999m12,-5.69e-11
01jan2000,2000m1,.0009174
,2000m2,2.05e-10
,2000m3,3.92e-11
01apr2000,2000m4,-.000238
,2000m5,8.22e-11
,2000m6,-7.56e-11
01jul2000,2000m7,-.0027035
,2000m8,1.82e-11
,2000m9,-2.22e-11
01oct2000,2000m10,-.00494
,2000m11,-1.74e-10
,2000m12,2.45e-11
01jan2001,2001m1,-.0044702
,2001m2,-3.63e-11
,2001m3,1.66e-10
01apr2001,2001m4,-.0009407
,2001m5,5.09e-11
,2001m6,-1.69e-10
01jul2001,2001m7,.0033122
,2001m8,-1.01e-10
,2001m9,-1.76e-10
01oct2001,2001m10,.0052665
,2001m11,7.21e-12
,2001m12,2.75e-11
01jan2002,2002m1,.003495
,2002m2,2.09e-10
,2002m3,-6.52e-11
01apr2002,2002m4,-.0006722
,2002m5,-1.12e-10
,2002m6,-1.03e-10
01jul2002,2002m7,-.0036489
,2002m8,2.39e-11
,2002m9,-1.04e-11
01oct2002,2002m10,-.0030977
,2002m11,4.30e-11
,2002m12,4.07e-12
01jan2003,2003m1,.0006396
,2003m2,-2.51e-11
,2003m3,1.10e-10
01apr2003,2003m4,.0051099
,2003m5,-6.00e-11
,2003m6,-8.39e-11
01jul2003,2003m7,.0070582
,2003m8,2.17e-10
,2003m9,-4.27e-10
01oct2003,2003m10,.0055129
,2003m11,-1.05e-11
,2003m12,4.52e-10
01jan2004,2004m1,.0017417
,2004m2,5.98e-12
,2004m3,-3.51e-10
01apr2004,2004m4,-.0012469
,2004m5,7.82e-11
,2004m6,2.85e-10
01jul2004,2004m7,-.001949
,2004m8,-2.80e-10
,2004m9,-8.28e-11
01oct2004,2004m10,-.0006007
,2004m11,-2.69e-10
,2004m12,1.39e-10
01jan2005,2005m1,.0012629
,2005m2,2.92e-11
,2005m3,2.47e-10
01apr2005,2005m4,.0018156
,2005m5,-3.12e-10
,2005m6,3.41e-10
01jul2005,2005m7,.0005026
,2005m8,-1.95e-10
,2005m9,3.92e-10
01oct2005,2005m10,-.0015743
,2005m11,-2.07e-10
,2005m12,-2.65e-11
01jan2006,2006m1,-.0029915
,2006m2,-2.82e-11
,2006m3,4.23e-11
01apr2006,2006m4,-.0036394
,2006m5,5.36e-12
,2006m6,-4.95e-13
01jul2006,2006m7,-.0037102
,2006m8,2.76e-11
,2006m9,-6.58e-11
01oct2006,2006m10,-.0031266
,2006m11,-8.01e-11
,2006m12,1.86e-10
01jan2007,2007m1,-.0015906
,2007m2,-1.21e-10
,2007m3,-1.98e-10
01apr2007,2007m4,.0006297
,2007m5,-9.61e-11
,2007m6,-1.17e-12
01jul2007,2007m7,.0016011
,2007m8,-3.79e-11
,2007m9,-7.57e-11
01oct2007,2007m10,.0001199
,2007m11,-5.45e-11
,2007m12,1.53e-11
01jan2008,2008m1,-.0029555
,2008m2,-5.77e-11
,2008m3,-1.23e-10
01apr2008,2008m4,-.0053898
,2008m5,1.60e-10
,2008m6,3.28e-10
01jul2008,2008m7,-.0049032
,2008m8,1.23e-10
,2008m9,-7.14e-11
01oct2008,2008m10,-.0010156
,2008m11,2.41e-10
,2008m12,3.11e-10
01jan2009,2009m1,.0045635
,2009m2,-9.24e-11
,2009m3,4.26e-10
01apr2009,2009m4,.009024
,2009m5,-6.46e-12
,2009m6,-8.47e-12
01jul2009,2009m7,.0105051
,2009m8,-1.97e-11
,2009m9,-2.18e-10
01oct2009,2009m10,.0089569
,2009m11,3.09e-10
,2009m12,-2.32e-10
01jan2010,2010m1,.0052938
,2010m2,9.11e-10
,2010m3,-1.41e-10
01apr2010,2010m4,.0011434
,2010m5,3.89e-10
,2010m6,4.41e-10
01jul2010,2010m7,-.0019827
,2010m8,-5.27e-10
,2010m9,5.14e-10
01oct2010,2010m10,-.0038562
,2010m11,3.24e-10
,2010m12,-2.84e-10
01jan2011,2011m1,-.00431
,2011m2,-1.43e-10
,2011m3,7.69e-11
01apr2011,2011m4,-.003046
,2011m5,-1.93e-11
,2011m6,2.27e-11
01jul2011,2011m7,-.0014296
,2011m8,-1.76e-12
,2011m9,-4.79e-11
01oct2011,2011m10,-.000228
,2011m11,2.66e-11
,2011m12,-4.28e-11
01jan2012,2012m1,.0003825
,2012m2,8.50e-12
,2012m3,-4.18e-11
01apr2012,2012m4,-.0002925
,2012m5,3.97e-12
,2012m6,5.30e-11
01jul2012,2012m7,-.0019571
,2012m8,5.71e-12
,2012m9,-4.86e-12
01oct2012,2012m10,-.0030328
,2012m11,-4.84e-11
,2012m12,5.03e-11
